,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-06-30 00:00:00+00:00,0.0,0.0,22.07,20.87,3.03,81.35,0.0
2022-06-30 01:00:00+00:00,0.0,0.0,22.46,21.26,3.79,84.15,0.0
2022-06-30 02:00:00+00:00,0.0,0.0,22.57,21.37,3.79,90.0,0.0
2022-06-30 03:00:00+00:00,0.0,0.0,21.82,20.62,4.41,93.0,0.0
2022-06-30 04:00:00+00:00,33.0,33.0,21.28,20.080000000000002,5.1,93.0,4.247007332541732
2022-06-30 05:00:00+00:00,205.0,205.0,21.55,20.35,4.48,93.0,17.25500178831496
2022-06-30 06:00:00+00:00,352.0,352.0,21.02,19.82,3.31,92.95,37.75540259015848
2022-06-30 07:00:00+00:00,475.0,448.96,22.3,21.1,2.76,84.15,54.029073736161116
2022-06-30 08:00:00+00:00,380.0,368.9,22.98,21.78,4.21,81.45,42.33184976330395
2022-06-30 09:00:00+00:00,712.0,551.46,23.78,22.580000000000002,5.72,73.75,29.6357043788385
2022-06-30 10:00:00+00:00,737.0,579.5,23.85,22.650000000000002,6.41,66.65,15.955976709560717
2022-06-30 11:00:00+00:00,844.0,608.8,24.03,22.830000000000002,6.34,64.4,1.619720916052543
2022-06-30 12:00:00+00:00,786.0,605.6,24.07,22.87,6.21,64.4,12.78984062488996
2022-06-30 13:00:00+00:00,737.0,605.16,24.19,22.990000000000002,5.86,62.35,26.658510696491966
2022-06-30 14:00:00+00:00,654.0,629.82,24.11,22.91,5.17,60.15,39.590006289477536
2022-06-30 15:00:00+00:00,535.0,535.0,23.81,22.61,4.28,60.15,51.50246810102506
2022-06-30 16:00:00+00:00,327.0,327.0,21.75,20.55,2.38,67.99,47.95452823487524
2022-06-30 17:00:00+00:00,172.0,172.0,21.97,20.77,2.19,69.26,20.647125137586414
2022-06-30 18:00:00+00:00,30.0,30.0,22.19,20.990000000000002,2.01,70.52,6.964472299512793
2022-06-30 19:00:00+00:00,0.0,0.0,22.41,21.21,1.82,71.79,0.0
2022-06-30 20:00:00+00:00,0.0,0.0,22.64,21.44,1.64,73.06,0.0
2022-06-30 21:00:00+00:00,0.0,0.0,22.86,21.66,1.46,74.33,0.0
2022-06-30 22:00:00+00:00,0.0,0.0,23.08,21.88,1.27,75.6,0.0
2022-06-30 23:00:00+00:00,0.0,0.0,23.3,22.1,1.09,76.86,0.0
2022-07-01 00:00:00+00:00,0.0,0.0,23.52,22.32,0.9,78.13,0.0
2022-07-01 01:00:00+00:00,0.0,0.0,23.74,22.54,0.72,79.4,0.0
2022-07-01 02:00:00+00:00,0.0,0.0,23.96,22.76,0.54,80.67,0.0
2022-07-01 03:00:00+00:00,0.0,0.0,24.18,22.98,0.35,81.93,0.0
2022-07-01 04:00:00+00:00,40.0,40.0,24.4,23.2,0.17,83.2,4.149502368688903
2022-07-01 05:00:00+00:00,184.0,184.0,24.62,23.42,-0.02,84.47,17.142478300842498
2022-07-01 06:00:00+00:00,370.0,370.0,24.84,23.64,-0.2,85.74,37.513574124617115
2022-07-01 07:00:00+00:00,554.0,508.04,25.06,23.86,-0.38,87.01,54.10318953949255
2022-07-01 08:00:00+00:00,722.0,558.8,28.87,27.67,1.1,65.3,42.40306025187941
2022-07-01 09:00:00+00:00,855.0,543.12,30.04,28.84,1.52,61.35,29.702482383635957
2022-07-01 10:00:00+00:00,938.0,556.0,31.0,29.8,2.07,57.6,16.015449396103143
2022-07-01 11:00:00+00:00,968.0,584.0,31.59,30.39,2.55,55.85,1.668506173644859
2022-07-01 12:00:00+00:00,936.0,597.2,31.66,30.46,3.17,54.15,12.754164097354048
2022-07-01 13:00:00+00:00,851.0,630.2,30.98,29.78,3.17,55.75,26.636351236872482
2022-07-01 14:00:00+00:00,716.0,682.46,30.76,29.560000000000002,3.17,53.9,39.57996651324435
2022-07-01 15:00:00+00:00,545.0,545.0,30.58,29.38,2.9,53.8,51.50234279319533
2022-07-01 16:00:00+00:00,358.0,358.0,30.03,28.830000000000002,2.28,53.7,47.90591349247031
2022-07-01 17:00:00+00:00,173.0,173.0,29.32,28.12,1.86,55.4,20.62628943983636
2022-07-01 18:00:00+00:00,29.0,29.0,28.24,27.04,1.17,61.0,6.943887268300468
2022-07-01 19:00:00+00:00,0.0,0.0,26.68,25.48,1.1,69.5,0.0
2022-07-01 20:00:00+00:00,0.0,0.0,25.42,24.220000000000002,0.97,81.75,0.0
2022-07-01 21:00:00+00:00,0.0,0.0,25.63,24.43,0.69,79.15,0.0
2022-07-01 22:00:00+00:00,0.0,0.0,25.55,24.35,0.62,79.15,0.0
2022-07-01 23:00:00+00:00,0.0,0.0,25.21,24.01,0.41,84.45,0.0
2022-07-02 00:00:00+00:00,0.0,0.0,24.85,23.650000000000002,0.41,87.25,0.0
2022-07-02 01:00:00+00:00,0.0,0.0,24.54,23.34,0.0,87.25,0.0
2022-07-02 02:00:00+00:00,0.0,0.0,24.2,23.0,0.62,93.1,0.0
2022-07-02 03:00:00+00:00,0.0,0.0,23.9,22.7,0.55,96.2,0.0
2022-07-02 04:00:00+00:00,42.0,42.0,23.64,22.44,0.34,96.2,4.0469004716522
2022-07-02 05:00:00+00:00,186.0,186.0,23.87,22.67,0.34,96.2,17.024563302433826
